Numero documento;Data documento;Fornitore;Cod. articolo;Descrizione;Quantità;Prezzo unitario;%IVA;Prezzo totale;waste_kg
13909/1;17-04-2026;MARCHI SPA;01023;BURRO DELIZIE DI LATTE KG.1X12;2,00;7,132;4,00;14,26;0,12
13909/1;17-04-2026;MARCHI SPA;02048;LATTE INTERO UHT BAYERNLAD C/TAP LT.1X12;12,00;1,283;4,00;15,40;0,45
13909/1;17-04-2026;MARCHI SPA;03081;PANNA FINESS M.G.15% DEBIC LT.1X6;6,00;3,708;10,00;22,25;0,35
13909/1;17-04-2026;MARCHI SPA;01424;OLIO SEMI GIRASOLE PET LT.1X12;12,00;2,132;4,00;25,58;0,20
13909/1;17-04-2026;MARCHI SPA;13532;OLIO EX.VERGINE OROLIVETO PET LT.1X12;12,00;6,769;4,00;81,23;0,30
13909/1;17-04-2026;MARCHI SPA;M0223;MOZZARELLA BUFALA CAMPANA DOP GR.125X12;1,50;12,314;4,00;18,47;0,10
13909/1;17-04-2026;MARCHI SPA;13853;POLLO PETTO GELO A META' KG.3X1;3,05;5,709;10,00;17,41;0,25
